street,city,beds,baths,sq__ft,type,price
633 HANISCH DR,ROSEVILLE,4,3,1800,Residential,310000
63 ANGEL ISLAND CIR,SACRAMENTO,4,2,2169,Residential,311518
1571 WILD OAK LN,LINCOLN,5,3,2457,Residential,312000
5222 COPPER SUNSET WAY,RANCHO CORDOVA,0,0,0,Residential,313000
5601 SPINDRIFT LN,ORANGEVALE,4,2,2004,Residential,315000
652 FIFTEEN MILE DR,ROSEVILLE,4,3,2212,Residential,315000
7921 DOE TRAIL WAY,ANTELOPE,5,3,3134,Residential,315000
4204 LUSK DR,SACRAMENTO,3,2,1360,Residential,315000
5321 DELTA DR,ROCKLIN,4,2,0,Residential,315000
5608 ROSEDALE WAY,SACRAMENTO,3,2,1276,Residential,320000
3372 BERETANIA WAY,SACRAMENTO,4,3,2962,Residential,322000
2422 STEFANIE DR,ROCKLIN,4,2,1888,Residential,325000
3232 PARKHAM DR,ROSEVILLE,0,0,0,Residential,325500
448 ELMWOOD CT,ROSEVILLE,3,2,0,Residential,326951
1214 DAWNWOOD DR,GALT,3,2,1548,Residential,328370
1440 EMERALD LN,LINCOLN,2,2,0,Residential,330000
3349 CORVINA DR,RANCHO CORDOVA,4,3,2109,Residential,330000
10254 JULIANA WAY,SACRAMENTO,4,2,2484,Residential,331200
149 OPUS CIR,SACRAMENTO,4,3,2258,Residential,332000
580 REGENCY PARK CIR,SACRAMENTO,3,3,2212,Residential,334000
5544 CAMAS CT,ORANGEVALE,3,2,1616,Residential,335000
5102 ARCHCREST WAY,SACRAMENTO,4,2,2372,Residential,341000
5725 BALFOR RD,ROCKLIN,5,3,2606,Residential,346375
7697 ROSEHALL DR,ROSEVILLE,5,3,0,Residential,347225
4821 HUTSON WAY,ELK GROVE,5,3,2877,Residential,349000
4509 WINJE DR,ANTELOPE,3,2,2960,Residential,350000
1965 LAURELHURST LN,LINCOLN,2,2,0,Residential,350000
6709 ROSE BRIDGE DR,ROSEVILLE,3,2,2172,Residential,350000
281 SPYGLASS HL,ROSEVILLE,3,2,2100,Condo,350000
7709 RIVER VILLAGE DR,SACRAMENTO,3,2,1795,Residential,351000
4165 BRISBANE CIR,EL DORADO HILLS,3,2,0,Residential,356200
506 BEDFORD CT,ROSEVILLE,4,2,2295,Residential,360000
9048 PINTO CANYON WAY,ROSEVILLE,4,3,2577,Residential,367463
2274 IVY BRIDGE DR,ROSEVILLE,0,0,0,Residential,375000
14004 WALNUT AVE,WALNUT GROVE,3,1,1727,Residential,380000
6905 FRANKFORT CT,ELK GROVE,3,2,1485,Residential,380578
3621 WINTUN DR,CARMICHAEL,3,2,1655,Residential,386222
201 KIRKLAND CT,LINCOLN,0,0,0,Residential,389000
12075 APPLESBURY CT,RANCHO CORDOVA,0,0,0,Residential,390000
1975 SIDESADDLE WAY,ROSEVILLE,3,2,2049,Residential,395500
5420 ALMOND FALLS WAY,RANCHO CORDOVA,0,0,0,Residential,396000
9677 PILLITERI CT,ELK GROVE,5,3,2875,Residential,397000
1515 EL CAMINO VERDE DR,LINCOLN,0,0,0,Residential,400000
556 PLATT CIR,EL DORADO HILLS,4,2,2199,Residential,400000
1792 DIAMOND WOODS CIR,ROSEVILLE,4,3,0,Residential,412500
1124 PERKINS WAY,SACRAMENTO,2,1,1304,Residential,413500
4748 SALEM WAY,CARMICHAEL,3,2,2334,Residential,415000
1484 RADCLIFFE WAY,AUBURN,4,3,2278,Residential,420454
51 AIKEN WAY,SACRAMENTO,3,1,1493,Residential,425000
2818 KNOLLWOOD DR,CAMERON PARK,3,2,0,Residential,425000
1536 STONEY CROSS LN,LINCOLN,0,0,0,Residential,433500
509 CASTILLIAN CT,ROSEVILLE,5,3,0,Residential,438000
700 HUNTER PL,FOLSOM,5,3,2787,Residential,441000
1240 FAY CIR,SACRAMENTO,5,3,2824,Residential,445000
1113 SANDWICK WAY,FOLSOM,4,3,3261,Residential,446000
3108 DELWOOD WAY,SACRAMENTO,4,2,2053,Residential,450000
3212 CORNICHE LN,ROSEVILLE,4,3,2379,Residential,455000
2159 BECKETT DR,EL DORADO HILLS,3,2,0,Residential,460000
4320 FOUR SEASONS RD,PLACERVILLE,3,2,0,Residential,475000
6401 MARSHALL RD,GARDEN VALLEY,3,2,0,Residential,490000
2089 BECKETT DR,EL DORADO HILLS,4,2,0,Residential,493000
6196 EDGEHILL DR,EL DORADO HILLS,5,4,0,Residential,508000
200 HILLSFORD CT,ROSEVILLE,0,0,0,Residential,511000
8217 PLUMERIA AVE,FAIR OAKS,3,2,3173,Residential,525000
4841 VILLAGE GREEN DR,EL DORADO HILLS,4,3,0,Residential,533000
3863 LAS PASAS WAY,SACRAMENTO,3,1,1348,Residential,545000
820 DANA CT,AUBURN,4,3,0,Residential,560000
1165 37TH ST,SACRAMENTO,2,1,1252,Residential,575000
203 CASCADE FALLS DR,FOLSOM,4,3,3229,Residential,575000
9880 IZILDA CT,SACRAMENTO,5,4,3863,Residential,598695
1800 AVONDALE DR,ROSEVILLE,5,3,0,Residential,600000
4620 BROMWICH CT,ROCKLIN,4,3,0,Residential,600000
620 KESWICK CT,GRANITE BAY,4,3,2356,Residential,600000
4478 GREENBRAE RD,ROCKLIN,0,0,0,Residential,600000
8432 BRIGGS DR,ROSEVILLE,5,3,3579,Residential,610000
200 CRADLE MOUNTAIN CT,EL DORADO HILLS,0,0,0,Residential,622500
2065 IMPRESSIONIST WAY,EL DORADO HILLS,0,0,0,Residential,680000
2982 ABERDEEN LN,EL DORADO HILLS,4,3,0,Residential,879000
9401 BARREL RACER CT,WILTON,4,3,4400,Residential,884790
3720 VISTA DE MADERA,LINCOLN,3,3,0,Residential,1551
14151 INDIO DR,SLOUGHHOUSE,3,4,5822,Residential,2000
7401 TOULON LN,SACRAMENTO,4,2,1512,Residential,56950
9127 NEWHALL DR Unit 34,SACRAMENTO,1,1,611,Condo,60000
5937 BAMFORD DR,SACRAMENTO,2,1,876,Residential,61000
5672 HILLSDALE BLVD,SACRAMENTO,2,1,933,Condo,62000
3920 39TH ST,SACRAMENTO,2,1,864,Residential,68566
701 JESSIE AVE,SACRAMENTO,2,1,1011,Residential,70000
83 ARCADE BLVD,SACRAMENTO,4,2,1158,Residential,80000
601 REGGINALD WAY,SACRAMENTO,3,2,1092,Residential,85500
550 DEL VERDE CIR,SACRAMENTO,2,1,956,Condo,92000
4113 DAYSTAR CT,SACRAMENTO,2,2,1139,Residential,93600
7374 TISDALE WAY,SACRAMENTO,3,1,1058,Residential,95000
3348 RIO LINDA BLVD,SACRAMENTO,3,2,1040,Residential,97750
3935 LIMESTONE WAY,SACRAMENTO,3,2,1354,Residential,104000
6208 GRATTAN WAY,NORTH HIGHLANDS,3,1,1051,Residential,105000
739 E WOODSIDE LN Unit E,SACRAMENTO,1,1,682,Condo,107666
4225 46TH AVE,SACRAMENTO,3,1,1161,Residential,109000
1434 BELL AVE,SACRAMENTO,3,1,1004,Residential,110000
5628 GEORGIA DR,NORTH HIGHLANDS,3,1,1229,Residential,110000
7629 BETH ST,SACRAMENTO,3,2,1249,Residential,112500
2277 BABETTE WAY,SACRAMENTO,3,2,1161,Residential,114800
6561 WEATHERFORD WAY,SACRAMENTO,3,1,1010,Residential,116000
3035 ESTEPA DR Unit 5C,CAMERON PARK,0,0,0,Condo,119000
5136 CABOT CIR,SACRAMENTO,4,2,1462,Residential,121500
7730 ROBINETTE RD,SACRAMENTO,3,2,1269,Residential,122000
87 LACAM CIR,SACRAMENTO,2,2,1188,Residential,123675
1691 NOGALES ST,SACRAMENTO,4,2,1570,Residential,126854
3118 42ND ST,SACRAMENTO,3,2,1093,Residential,127059
7517 50TH AVE,SACRAMENTO,3,1,962,Residential,128687
4071 EVALITA WAY,SACRAMENTO,3,2,1089,Residential,129500
7928 36TH AVE,SACRAMENTO,3,2,1127,Residential,130000
6631 DEMARET DR,SACRAMENTO,4,2,1309,Residential,131750
7043 9TH AVE,RIO LINDA,2,1,970,Residential,132000
97 KENNELFORD CIR,SACRAMENTO,3,2,1144,Residential,134000
2636 TRONERO WAY,RANCHO CORDOVA,3,1,1000,Residential,134000
1530 TOPANGA LN Unit 204,LINCOLN,0,0,0,Condo,138000
3604 KODIAK WAY,ANTELOPE,3,2,1206,Residential,142000
2149 COTTAGE WAY,SACRAMENTO,3,1,1285,Residential,143012
8632 PRAIRIEWOODS DR,SACRAMENTO,3,2,1543,Residential,145846
612 STONE BLVD,WEST SACRAMENTO,2,1,884,Residential,147000
4180 12TH AVE,SACRAMENTO,3,1,1019,Residential,148750
8025 ARROYO VISTA DR,SACRAMENTO,4,2,1392,Residential,150000
5754 WALERGA RD Unit 4,SACRAMENTO,2,1,924,Condo,150454
8 LA ROCAS CT,SACRAMENTO,3,2,1217,Residential,151087
8636 LONGSPUR WAY,ANTELOPE,3,2,1670,Residential,157296
1941 EXPEDITION WAY,SACRAMENTO,3,2,1302,Residential,157500
4351 TURNBRIDGE DR,SACRAMENTO,3,2,1488,Residential,160000
6513 HOLIDAY WAY,NORTH HIGHLANDS,3,2,1373,Residential,160000
8321 MISTLETOE WAY,CITRUS HEIGHTS,4,2,1381,Residential,161250
5920 VALLEY GLEN WAY,SACRAMENTO,3,2,1265,Residential,164000
2601 SAN FERNANDO WAY,SACRAMENTO,2,1,881,Residential,165000
501 POPLAR AVE,WEST SACRAMENTO,0,0,0,Residential,165000
8008 SAINT HELENA CT,SACRAMENTO,4,2,1608,Residential,165750
6517 DONEGAL DR,CITRUS HEIGHTS,3,1,1344,Residential,166000
1001 RIO NORTE WAY,SACRAMENTO,3,2,1202,Residential,169000
604 P ST,LINCOLN,3,2,1104,Residential,170000
10001 WOODCREEK OAKS BLVD Unit 815,ROSEVILLE,2,2,0,Condo,170000
7351 GIGI PL,SACRAMENTO,4,2,1859,Multi-Family,170000
7740 DIXIE LOU ST,SACRAMENTO,3,2,1232,Residential,170000
7342 DAVE ST,SACRAMENTO,3,1,1638,Residential,170725
7687 HOWERTON DR,SACRAMENTO,2,2,1177,Residential,171750
26 KAMSON CT,SACRAMENTO,3,2,1582,Residential,172000
7045 PEEVEY CT,SACRAMENTO,2,2,904,Residential,173056
8916 GABLES MILL PL,ELK GROVE,3,2,1340,Residential,174000
1140 EDMONTON DR,SACRAMENTO,3,2,1204,Residential,174250
8879 APPLE PEAR CT,ELK GROVE,4,2,1477,Residential,176850
9 WIND CT,SACRAMENTO,4,2,1497,Residential,179500
8570 SHERATON DR,FAIR OAKS,3,1,960,Residential,185000
1550 TOPANGA LN Unit 207,LINCOLN,0,0,0,Condo,188000
1080 RIO NORTE WAY,SACRAMENTO,3,2,1428,Residential,188700
5501 VALLETTA WAY,SACRAMENTO,3,1,1039,Residential,189000
5624 MEMORY LN,FAIR OAKS,3,1,1529,Residential,189000
6622 WILLOWLEAF DR,CITRUS HEIGHTS,4,3,1892,Residential,189836
27 MEGAN CT,SACRAMENTO,4,2,1887,Residential,190000
6601 WOODMORE OAKS DR,ORANGEVALE,3,2,1294,Residential,191250
1973 DANVERS WAY,SACRAMENTO,3,2,1638,Residential,191675
8001 ARROYO VISTA DR,SACRAMENTO,3,2,1677,Residential,195500
7409 VOYAGER WAY,CITRUS HEIGHTS,3,1,1073,Residential,198000
815 CROSSWIND DR,SACRAMENTO,3,2,1231,Residential,200000
5509 LAGUNA CREST WAY,ELK GROVE,3,2,1175,Residential,200000
8424 MERRY HILL WAY,ELK GROVE,3,2,1416,Residential,200000
1525 PENNSYLVANIA AVE,WEST SACRAMENTO,0,0,0,Residential,200100
5954 BRIDGECROSS DR,SACRAMENTO,3,2,1358,Residential,201528
8789 SEQUOIA WOOD CT,ELK GROVE,4,2,1609,Residential,204750
6600 SILVERTHORNE CIR,SACRAMENTO,4,3,1968,Residential,205000
2221 2ND AVE,SACRAMENTO,2,2,1089,Residential,205000
3230 SMATHERS WAY,CARMICHAEL,3,2,1296,Residential,205900
5209 LAGUNA CREST WAY,ELK GROVE,2,2,1189,Residential,207000
416 LEITCH AVE,SACRAMENTO,2,1,795,Residential,207973
2100 BEATTY WAY,ROSEVILLE,3,2,1371,Residential,208250
6920 GILLINGHAM WAY,NORTH HIGHLANDS,3,1,1310,Residential,208318
82 WILDFLOWER DR,GALT,3,2,1262,Residential,209347
8652 BANTON CIR,ELK GROVE,4,2,1740,Residential,211500
8428 MISTY PASS WAY,ANTELOPE,3,2,1517,Residential,212000
7958 ROSEVIEW WAY,SACRAMENTO,3,2,1450,Residential,213000
9020 LUKEN CT,ELK GROVE,3,2,1416,Residential,216000
7809 VALLECITOS WAY,SACRAMENTO,3,1,888,Residential,216021
8445 OLD AUBURN RD,CITRUS HEIGHTS,3,2,1882,Residential,219000
10085 ATKINS DR,ELK GROVE,3,2,1302,Residential,219794
9185 CERROLINDA CIR,ELK GROVE,3,2,1418,Residential,220000
9197 CORTINA CIR,ROSEVILLE,3,2,0,Condo,220000
5429 HESPER WAY,CARMICHAEL,4,2,1319,Residential,220000
1178 WARMWOOD CT,GALT,4,2,1770,Residential,220000
4900 ELUDE CT,SACRAMENTO,4,2,1627,Residential,223000
3557 SODA WAY,SACRAMENTO,0,0,0,Residential,224000
3528 SAINT GEORGE DR,SACRAMENTO,3,1,1040,Residential,224000
7381 WASHBURN WAY,NORTH HIGHLANDS,3,1,960,Residential,224252
2181 WINTERHAVEN CIR,CAMERON PARK,3,2,0,Residential,224500
7540 HICKORY AVE,ORANGEVALE,3,1,1456,Residential,225000
5024 CHAMBERLIN CIR,ELK GROVE,3,2,1450,Residential,228000
2400 INVERNESS DR,LINCOLN,3,2,1358,Residential,229027
5 BISHOPGATE CT,SACRAMENTO,4,2,1329,Residential,229500
5601 REXLEIGH DR,SACRAMENTO,4,2,1715,Residential,230000
1909 YARNELL WAY,ELK GROVE,3,2,1262,Residential,230000
9169 GARLINGTON CT,SACRAMENTO,4,3,2280,Residential,232425
6932 RUSKUT WAY,SACRAMENTO,3,2,1477,Residential,234000
7933 DAFFODIL WAY,CITRUS HEIGHTS,3,2,1216,Residential,235000
8304 RED FOX WAY,ELK GROVE,4,2,1685,Residential,235301
3882 YELLOWSTONE LN,EL DORADO HILLS,3,2,1362,Residential,235738
